t,pitch_deg,gyro_dps,base_cmd
2.504,-6.03244,-12.9902,6
2.508,-6.08206,-12.4042,6
2.512,-6.12937,-11.8275,6
2.516,-6.17441,-11.2598,6
2.52,-6.21721,-10.7011,6
2.524,-6.25782,-10.1512,6
2.528,-6.29626,-9.60999,6
2.532,-6.33257,-9.07725,6
2.536,-6.36678,-8.55287,6
2.54,-6.39892,-8.03671,6
2.544,-6.42904,-7.52862,6
2.548,-6.45715,-7.02848,6
2.552,-6.4833,-6.53614,6
2.556,-6.5075,-6.05147,6
2.56,-6.5298,-5.57434,6
2.564,-6.55022,-5.10462,6
2.568,-6.56879,-4.64219,6
2.572,-6.58554,-4.18693,6
2.576,-6.60049,-3.7387,6
2.58,-6.61368,-3.2974,6
2.584,-6.62513,-2.8629,6
2.588,-6.63487,-2.43508,6
2.592,-6.64293,-2.01384,6
2.596,-6.64932,-1.59906,6
2.6,-6.65409,-1.19063,6
2.604,-6.65724,-0.788438,6
2.608,-6.65881,-0.392386,6
2.612,-6.65882,-0.00236522,6
2.616,-6.65729,0.381727,6
2.62,-6.65425,0.759992,6
2.624,-6.64972,1.13253,6
2.628,-6.64372,1.49944,6
2.632,-6.63628,1.86081,6
2.636,-6.62741,2.21675,6
2.64,-6.61714,2.56733,6
2.644,-6.60549,2.91267,6
2.648,-6.59248,3.25283,6
2.652,-6.57813,3.58793,6
2.656,-6.56246,3.91803,6
2.66,-6.54549,4.24322,6
2.664,-6.52723,4.5636,6
2.668,-6.50771,4.87924,6
2.672,-6.48695,5.19022,6
2.676,-6.46497,5.49662,6
2.68,-6.44177,5.79852,6
2.684,-6.41739,6.096,6
2.688,-6.39183,6.38914,6
2.692,-6.36512,6.678,6
2.696,-6.33727,6.96267,6
2.7,-6.3083,7.24321,6
2.704,-6.27822,7.51969,6
2.708,-6.24705,7.79219,6
2.712,-6.21481,8.06077,6
2.716,-6.1815,8.3255,6
2.72,-6.14716,8.58644,6
2.724,-6.11178,8.84367,6
2.728,-6.07539,9.09724,6
2.732,-6.03801,9.34722,6
2.736,-5.99963,9.59367,6
2.74,-5.96028,9.83665,6
2.744,-5.91998,10.0762,6
2.748,-5.87873,10.3124,6
2.752,-5.83655,10.5454,6
2.756,-5.79345,10.775,6
2.76,-5.74944,11.0016,6
2.764,-5.70454,11.2249,6
2.768,-5.65876,11.4452,6
2.772,-5.61211,11.6625,6
2.776,-5.5646,11.8769,6
2.78,-5.51625,12.0883,6
2.784,-5.46706,12.2968,6
2.788,-5.41705,12.5025,6
2.792,-5.36623,12.7055,6
2.796,-5.31461,12.9057,6
2.8,-5.2622,13.1033,6
2.804,-5.209,13.2982,6
2.808,-5.15504,13.4906,6
2.812,-5.10032,13.6804,6
2.816,-5.04485,13.8678,6
2.82,-4.98864,14.0526,6
2.824,-4.9317,14.2351,6
2.828,-4.87404,14.4152,6
2.832,-4.81566,14.593,6
2.836,-4.75659,14.7686,6
2.84,-4.69682,14.9418,6
2.844,-4.63637,15.1129,6
2.848,-4.57524,15.2818,6
2.852,-4.51345,15.4486,6
2.856,-4.451,15.6133,6
2.86,-4.38789,15.7759,6
2.864,-4.32415,15.9365,6
2.868,-4.25977,16.0951,6
2.872,-4.19476,16.2518,6
2.876,-4.12913,16.4066,6
2.88,-4.06289,16.5595,6
2.884,-3.99605,16.7105,6
2.888,-3.92861,16.8597,6
2.892,-3.86058,17.0072,6
2.896,-3.79197,17.1529,6
2.9,-3.72279,17.2969,6
2.904,-3.65303,17.4391,6
2.908,-3.58271,17.5798,6
2.912,-3.51183,17.7188,6
2.916,-3.44041,17.8561,6
2.92,-3.36844,17.992,6
2.924,-3.29594,18.1262,6
2.928,-3.2229,18.259,6
2.932,-3.14934,18.3902,6
2.936,-3.07526,18.52,6
2.94,-3.00067,18.6484,6
2.944,-2.92557,18.7753,6
2.948,-2.84996,18.9009,6
2.952,-2.77386,19.0251,6
2.956,-2.69727,19.1479,6
2.96,-2.62019,19.2694,6
2.964,-2.54263,19.3897,6
2.968,-2.4646,19.5087,6
2.972,-2.38609,19.6264,6
2.976,-2.30712,19.7429,6
2.98,-2.22769,19.8582,6
2.984,-2.1478,19.9723,6
2.988,-2.06746,20.0852,6
2.992,-1.98667,20.1971,6
2.996,-1.90544,20.3078,6
3,-1.82377,20.4174,6
3.004,-1.74167,20.5259,6
3.008,-1.65913,20.6334,6
3.012,-1.57617,20.7398,6
3.016,-1.49279,20.8452,6
3.02,-1.40899,20.9496,6
3.024,-1.32478,21.053,6
3.028,-1.24016,21.1555,6
3.032,-1.15513,21.257,6
3.036,-1.0697,21.3576,6
3.04,-0.983873,21.4572,6
3.044,-0.897649,21.556,6
3.048,-0.811034,21.6539,6
3.052,-0.72403,21.7509,6
3.056,-0.636642,21.8471,6
3.06,-0.548872,21.9424,6
3.064,-0.460725,22.0369,6
3.068,-0.372202,22.1307,6
3.072,-0.283308,22.2236,6
3.076,-0.194045,22.3158,6
3.08,-0.104416,22.4072,6
3.084,-0.0144248,22.4978,6
3.088,0.0759262,22.5877,6
3.092,0.166634,22.677,6
3.096,0.257696,22.7655,6
3.1,0.349109,22.8533,6
3.104,0.440871,22.9404,6
3.108,0.532978,23.0269,6
3.112,0.625429,23.1127,6
3.116,0.718221,23.1979,6
3.12,0.811351,23.2825,6
3.124,0.904817,23.3664,6
